"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Task Management","Task assignment","Reassign task","0","0","3","0","0"
"Task Management","Task assignment","Assign task","0","0","4","0","0"
"Task Management","Task API","Reassign task","0","0","1","0","0"
"Task Management","Task board","Task status","0","0","2","0","0"
"Task Management","Task API","List users","0","0","1","0","0"
"Task Management","Task board","Team selection","0","0","2","0","0"
"Task Management","Task board","Filtering","0","0","1","0","0"
"Task Management","Filtering","My tasks","0","0","1","0","0"
"Task Management","Task API","Task status","0","0","1","0","0"
"Task Management","Task board","Task details","0","0","1","0","0"
"Task Management","Task board","Sorting","0","0","1","0","0"
