"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 13:23:00 UTC 2026","Sun Jul 19 13:23:00 UTC 2026","244","","com.tms.tests.e2e.ReassigningTaskToDifferentUserTest","","com.tms.tests.e2e.ReassigningTaskToDifferentUserTest","reassigningTask_changesTheAssignee","Reassigning a task changes the assignee","Opening the assign dialog on an already-assigned task and confirming a different user replaces the assignee."
"passed","Sun Jul 19 13:22:59 UTC 2026","Sun Jul 19 13:23:00 UTC 2026","148","","com.tms.tests.e2e.ReassigningACompletedTaskTest","","com.tms.tests.e2e.ReassigningACompletedTaskTest","reassigningACompletedTask_isBlocked","A completed task cannot be reassigned","A task with status Done has its reassign control disabled, and its assignee stays unchanged."
"passed","Sun Jul 19 13:22:57 UTC 2026","Sun Jul 19 13:22:57 UTC 2026","305","","com.tms.tests.e2e.AssigningTaskToUserFromUsersTableTest","","com.tms.tests.e2e.AssigningTaskToUserFromUsersTableTest","assigningTask_toUserRowFromUsersTable","Assigning a task to a user read from the 'users' table","
        Reads a user row from the Postgres 'users' table as a Users DTO generated from the table
        schema by TestIgnite's DtoClassGenerator, assigns a task to that user through the UI by the
        row's name, and verifies the row's id landed in the 'tasks' table.
        "
"passed","Sun Jul 19 13:23:01 UTC 2026","Sun Jul 19 13:23:01 UTC 2026","46","","com.tms.tests.grpc_api.ReassigningTaskViaGrpcApiTest","","com.tms.tests.grpc_api.ReassigningTaskViaGrpcApiTest","reassigningATaskViaGrpc_persistsTheAssignee","Reassigning a task through the gRPC TaskService persists the new assignee","
        Calling ReassignTask on the gRPC TaskService through TestIgnite's GrpcClient moves the task
        to the new assignee, verified from the RPC response, a follow-up GetTask, and the backing
        Postgres 'tasks' row.
        "
"passed","Sun Jul 19 13:22:59 UTC 2026","Sun Jul 19 13:22:59 UTC 2026","190","","com.tms.tests.e2e.MarkingTaskCompleteTest","","com.tms.tests.e2e.MarkingTaskCompleteTest","markingATaskComplete_updatesItsStatus","Marking a task complete updates its status","Clicking 'Mark complete' on an open task updates its status badge to Done."
"passed","Sun Jul 19 13:22:58 UTC 2026","Sun Jul 19 13:22:59 UTC 2026","1384","","com.tms.tests.e2e.MarkingTaskCompletePersistsViaGrpcTest","","com.tms.tests.e2e.MarkingTaskCompletePersistsViaGrpcTest","markingATaskComplete_persistsViaGrpc","Marking a task complete persists the status to the gRPC TaskService","
        Clicking 'Mark complete' updates the status badge and reaches the backend's gRPC TaskService
        (UI → HTTP gateway → CompleteTask), verified by calling GetTask through TestIgnite's GrpcClient.
        "
"passed","Sun Jul 19 13:22:43 UTC 2026","Sun Jul 19 13:22:57 UTC 2026","13576","","com.tms.tests.e2e.AssignDialogListsUsersFromUsersTableTest","","com.tms.tests.e2e.AssignDialogListsUsersFromUsersTableTest","assignDialog_listsTheTeamUsersFromUsersTable","Assign dialog offers exactly the team's users from the 'users' table","
        The assignee dropdown is populated from the backend's 'users' table (via the gateway's
        GET /api/users → gRPC ListUsers), so it must offer exactly the team's rows — read here as
        Users DTOs generated from the table schema by TestIgnite's DtoClassGenerator.
        "
"passed","Sun Jul 19 13:23:01 UTC 2026","Sun Jul 19 13:23:01 UTC 2026","22","","com.tms.tests.grpc_api.ListingUsersViaGrpcApiTest","","com.tms.tests.grpc_api.ListingUsersViaGrpcApiTest","listingUsersViaGrpc_returnsEveryUserRow","Listing users through the gRPC TaskService returns every row of the 'users' table","
        ListUsers on the gRPC TaskService must mirror the Postgres 'users' table row for row,
        compared against Users DTOs generated from the table schema by TestIgnite's
        DtoClassGenerator.
        "
"passed","Sun Jul 19 13:23:00 UTC 2026","Sun Jul 19 13:23:01 UTC 2026","163","","com.tms.tests.e2e.SwitchingTeamsRefreshesTaskListTest","","com.tms.tests.e2e.SwitchingTeamsRefreshesTaskListTest","switchingTeams_refreshesTaskList","Switching teams refreshes the task list","Changing the team selector drops the previous team's tasks and shows the new team's tasks."
"passed","Sun Jul 19 13:22:57 UTC 2026","Sun Jul 19 13:22:58 UTC 2026","157","","com.tms.tests.e2e.FilteringTasksByStatusTest","","com.tms.tests.e2e.FilteringTasksByStatusTest","filteringByStatus_showsOnlyMatchingTasks","Filtering by status shows only matching tasks","Filtering the task list to 'Done' hides Open and In Progress tasks for the selected team."
